antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_names,consequent_names
"frozenset({'SKU00303', 'SKU00060'})",frozenset({'SKU00084'}),0.02741362716139524,0.1747369818459394,0.010122465235139889,0.3692493946731235,2.113172556675382,1.0,0.005332290763507818,1.3083824433690097,0.5416258065959761,0.052713446249567926,0.23569747892286194,0.2135895596347574,"['RG Pearl Elaichi 1.4g Hanger', 'Rajnigandha 4g ']",['TZ 00 4.25g (6 Pcs)']
frozenset({'SKU00033'}),frozenset({'SKU00084'}),0.0664763864458531,0.1747369818459394,0.02213666987487969,0.3330004992511233,1.9057242246791257,1.0,0.010520786743307005,1.237276815391155,0.5091088201632972,0.10104529616724739,0.19177342728768587,0.22984307963505832,['Rajnigandha 100g '],['TZ 00 4.25g (6 Pcs)']
frozenset({'SKUPM4'}),frozenset({'SKU00084'}),0.14496697753144602,0.1747369818459394,0.0432776874315489,0.29853479853479853,1.7084809144638204,1.0,0.017946595310375915,1.1764846159585303,0.48499262627313766,0.1565614119342058,0.15001013490919388,0.2731040564373898,['Rajnigandha 17g Zipper 1 Pcs'],['TZ 00 4.25g (6 Pcs)']
frozenset({'SKU00084'}),frozenset({'SKUPM4'}),0.1747369818459394,0.14496697753144602,0.0432776874315489,0.24767331433998102,1.7084809144638204,1.0,0.017946595310375915,1.1365182689464621,0.502487936566993,0.1565614119342058,0.12011973117951978,0.2731040564373898,['TZ 00 4.25g (6 Pcs)'],['Rajnigandha 17g Zipper 1 Pcs']
"frozenset({'SKU101', 'SKU00084'})","frozenset({'SKU00086', 'SKU00060'})",0.04072217981480867,0.4171783213301915,0.02558826457800936,0.628361858190709,1.5062188662803702,1.0,0.008599853961961269,1.5682504379996818,0.3503530000290778,0.05918931368033164,0.3623467427335717,0.34484918685191773,"['Rajnigandha 17g Zipper IC ', 'TZ 00 4.25g (6 Pcs)']","['TZ 00 (with Silver) 0.45g', 'Rajnigandha 4g ']"
"frozenset({'SKU00086', 'SKU00084'})",frozenset({'SKUPM4'}),0.0699943579701968,0.14496697753144602,0.01496797318376423,0.21384542437174017,1.475131978421452,1.0,0.00482110266457072,1.0876143814150665,0.3463361302593892,0.07484234981745769,0.08055647563346284,0.15854817006132796,"['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)']",['Rajnigandha 17g Zipper 1 Pcs']
"frozenset({'SKU00084', 'SKU00060'})",frozenset({'SKUPM4'}),0.07112276393083536,0.14496697753144602,0.015167103647406326,0.21325244983667754,1.4710415673143158,1.0,0.004856651526670577,1.0867946424377883,0.34472753092994834,0.07548728113643872,0.07986296495085708,0.15893849598060983,"['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']",['Rajnigandha 17g Zipper 1 Pcs']
"frozenset({'SKU00086', 'SKU00084', 'SKU00060'})",frozenset({'SKUPM4'}),0.06899870565198632,0.14496697753144602,0.014702465898908102,0.21308321308321312,1.4698741514217708,1.0,0.0046999320869577435,1.0865609130269704,0.3433611200611313,0.07378414390406397,0.07966503487211483,0.15725131350131352,"['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']",['Rajnigandha 17g Zipper 1 Pcs']
"frozenset({'SKU101', 'SKU00084'})",frozenset({'SKU00086'}),0.04072217981480867,0.43370614981248545,0.025886960273472502,0.6356968215158924,1.4657316291012668,1.0,0.008225500454020124,1.554457615615392,0.33123549575251765,0.057713651498335176,0.3566887961727336,0.3476923042382033,"['Rajnigandha 17g Zipper IC ', 'TZ 00 4.25g (6 Pcs)']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU101', 'SKU00084'})",frozenset({'SKU00060'}),0.04072217981480867,0.438949918688394,0.026152467558328632,0.6422167889160554,1.4630753112679318,1.0,0.008277470039804207,1.5681285871738961,0.32994423338733087,0.05766556897182583,0.36229719413366845,0.35089820241205766,"['Rajnigandha 17g Zipper IC ', 'TZ 00 4.25g (6 Pcs)']",['Rajnigandha 4g ']
frozenset({'SKU00303'}),frozenset({'SKU00084'}),0.06913145929441439,0.1747369818459394,0.017257973515648336,0.24963994239078255,1.4286611783811338,1.0,0.0051781509679369505,1.0998226915002611,0.32232690387906443,0.07615700058582309,0.0907625313350225,0.174202687244774,['RG Pearl Elaichi 1.4g Hanger'],['TZ 00 4.25g (6 Pcs)']
"frozenset({'SKU00084', 'SKU00033'})","frozenset({'SKU00086', 'SKU00060'})",0.02213666987487969,0.4171783213301915,0.013175799010985364,0.5952023988005998,1.4267337691536095,1.0,0.003940860232742434,1.439785406195416,0.30586931513913407,0.030919003115264798,0.30545205160645017,0.313392766623848,"['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 100g ']","['TZ 00 (with Silver) 0.45g', 'Rajnigandha 4g ']"
"frozenset({'SKU00084', 'SKU00033'})",frozenset({'SKU00060'}),0.02213666987487969,0.438949918688394,0.01354087152766254,0.6116941529235382,1.3935397339890467,1.0,0.0038239820860522782,1.4448664256171473,0.28879593175853024,0.030255839822024472,0.3078944999549915,0.3212712409861907,"['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 100g ']",['Rajnigandha 4g ']
"frozenset({'SKU00084', 'SKU00033'})",frozenset({'SKU00086'}),0.02213666987487969,0.43370614981248545,0.013308552653413429,0.6011994002998502,1.3861906282854903,1.0,0.003707742792309324,1.4199924739664374,0.2849053547234278,0.030073496325183746,0.2957709154565309,0.31594252231092906,"['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 100g ']",['TZ 00 (with Silver) 0.45g']
frozenset({'SKU101'}),"frozenset({'SKU00086', 'SKU00060'})",0.06325711061697255,0.4171783213301915,0.03554478776011417,0.5619097586568731,1.3469294302378874,1.0,0.009155292540727326,1.3303690054427009,0.2749640369876915,0.07989556135770234,0.2483288501845136,0.3235563113093435,['Rajnigandha 17g Zipper IC '],"['TZ 00 (with Silver) 0.45g', 'Rajnigandha 4g ']"
"frozenset({'SKU00084', 'SKU00303'})",frozenset({'SKU00060'}),0.017257973515648336,0.438949918688394,0.010122465235139889,0.5865384615384616,1.3362309378962185,1.0,0.002547079163719595,1.3569583361955122,0.256045189232402,0.02269176400565434,0.26305769799558626,0.3047995498377322,"['TZ 00 4.25g (6 Pcs)', 'RG Pearl Elaichi 1.4g Hanger']",['Rajnigandha 4g ']
frozenset({'SKU101'}),frozenset({'SKU00086'}),0.06325711061697255,0.43370614981248545,0.03617536756164747,0.5718782791185729,1.3185846669820724,1.0,0.008740369667697812,1.3227402922272091,0.25792678427771604,0.07850763468740997,0.24399369560579742,0.3276440676278509,['Rajnigandha 17g Zipper IC '],['TZ 00 (with Silver) 0.45g']
frozenset({'SKU101'}),frozenset({'SKU00060'}),0.06325711061697255,0.438949918688394,0.036407686435896584,0.5755508919202519,1.3111994499054218,1.0,0.008640982874113738,1.3218312175277145,0.2533667712813673,0.07816173851086569,0.24347376068909257,0.32924679028191634,['Rajnigandha 17g Zipper IC '],['Rajnigandha 4g ']
